발생일시,관할해경서,발생해역,발생유형,발생원인,기상특보,사고선박수,구조인원,부상인원,사망인원,실종인원,사고위치,위도,경도,선종1,톤수1,선종2,톤수2,선종3,톤수3
2018-12-17 12:49,통영,영해,기관손상,정비불량,양호,1,1,0,0,0,사천시 대방동 굴항선착장 방파제 앞 해상,34|55|39,128|03|28,모터보트,2.03,,,,
2018-12-17 09:02,통영,영해,좌초,운항부주의,양호,1,2,0,0,0,고성군 삼산면 두포리 상대호도 동방 0.3해리,34|52|80,128|15|40,어선,1.88,,,,
2018-12-17 05:32,제주,영해-EEZ,화재,화기취급부주의,양호,1,5,0,0,0,우도 동방 16해리,33|27|00,127|16|00,어선,9.77,,,,
2018-12-16 20:08,군산,영해,인명사상,기타,양호,1,0,0,1,0,군산 옥도면 연도 남방 2해리,36|02|00,126|25|00,어선,17,,,,
2018-12-16 19:30,제주,영해,추진기손상,정비불량,양호,1,2,0,0,0,도두항 서방파제 오션파크펜션 앞 해상,33|30|20,126|27|45,모터보트,1,,,,
2018-12-16 17:43,울산,항계내,화재,관리소홀,양호,1,0,0,0,0,산 동구 방어진항 소형어선위판장 앞 계류중인 협동호內 기관실,35|29|03,129|25|46,어선,20,,,,
2018-12-16 16:51,보령,영해,기관손상,정비불량,양호,1,3,0,0,0,충남 보령시 오천면 가승구지항 인근 해상,36|25|15,126|29|03,어선,7.31,,,,
2018-12-16 16:50,본청,영해,기관손상,기타,양호,1,3,0,0,0,축산 남동 12해리,36|26|00,129|43|00,낚시어선,4.99,,,,
2018-12-16 16:48,부산,영해,기관손상,기타,양호,1,23,0,0,0,"부산, 감천항 남방 2해리",35|01|13,129|01|19,여객선,9975,,,,
2018-12-16 15:50,군산,영해-EEZ,안전저해,운항부주의,양호,1,8,0,0,0,군산 어청도 남서 약 37해리,35|50|00,125|15|00,어선,21,,,,
2018-12-16 13:56,평택,영해,좌초,운항부주의,양호,1,5,0,0,0,경기도 화성시 서신면 소재 제부도 북서방 1.2해리,37|11|35,126|36|17,모터보트,1.49,,,,
2018-12-16 08:29,서귀포,영해,안전저해,운항부주의,양호,1,1,0,0,0,신흥포구 동방 0.7해리,33|17|00,126|46|00,어선,3.53,,,,
2018-12-16 05:09,여수,항계내,충돌,운항부주의,양호,2,20,0,0,0,여수시 삼산면 거문도 남방 약 8해리 해상,33|53|00,127|22|00,어선,139,화물선,746,,
2018-12-16 01:11,부산,영해,기관손상,정비불량,양호,1,1,0,0,0,"부산, 수영만 해상",35|07|00,129|10|00,어선,5.5,,,,
2018-12-15 22:02,통영,영해,침수,정비불량,양호,1,2,0,0,0,경남 남해군 세존도 북서방 2.5해리 해상,34|31|74,128|02|99,어선,4.99,,,,
2018-12-15 17:42,포항,영해-EEZ,기관손상,관리소홀,황천5급,1,8,0,0,0,감포 동방 107해리,35|41|00,131|41|00,어선,34,,,,
2018-12-15 15:54,통영,영해,충돌,운항부주의,양호,2,2,0,0,0,통영시 산양읍 오곡도 남동 약 100m해상,34|43|31,128|25|48,모터보트,0.5,어선,4.13,,
2018-12-15 14:30,포항,영해-EEZ,기관손상,관리소홀,황천5급,1,9,0,0,0,포항시 남구 호미곶 북동 19해리,36|13|00,129|55|00,어선,40,,,,
2018-12-15 10:54,부산,영해,전복,기타,양호,1,3,0,0,0,북형제도 남서방 2해리,34|54|21,128|57|07,모터보트,0.31,,,,
2018-12-15 10:06,목포,항계내,침수,관리소홀,양호,3,0,0,0,0,목포시 북항 소형선박 물양장,000|00|00,000|00|00,어선,1.22,모터보트,0.5,모터보트,0.5
2018-12-15 09:45,본청,영해,안전저해,운항부주의,양호,1,2,0,0,0,축산 남동 6.2해리,36|25|00,129|33|00,어선,4.95,,,,
2018-12-14 21:00,서귀포,영해-EEZ,추진기손상,정비불량,양호,1,13,0,0,0,서귀포 남동방 33해리,32|53|00,127|05|00,어선,46,,,,
2018-12-14 20:38,통영,영해,충돌,운항부주의,양호,2,6,0,0,0,통영시 한산면 매물도 북서방 3해리 해상,34|40|00,128|30|00,어선,7.93,예부선,34,,
2018-12-14 19:00,울산,영해-EEZ,기관손상,정비불량,양호,1,7,0,0,0,간절곶 동방 26해리 (35-22N 129-54E),35|22|00,129|54|00,어선,29,,,,
2018-12-14 16:40,본청,항계내,기관손상,정비불량,양호,1,2,0,0,0,칠보산 온천 앞 500m 해상,36|36|00,129|25|00,모터보트,1.4,,,,
2018-12-14 09:21,본청,영해,추진기손상,정비불량,양호,1,2,0,0,0,구산 북동 4.5해리,36|47|15,129|33|92,모터보트,1.09,,,,
